mmc_code,name,generic_name,mmc_type,price_low,price_high,as_of,search_category,matched_terms
125,CATARACT EXTRACTION ( ADULT ) - OPHTHALMOLOGY,,CLINICAL SERVICES (PROF FEE),20000,50000,"August 31, 2023",procedure,CATARACT
51,CATARACT EXTRACTION( ADULT ) - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),8000,25000,"August 31, 2023",procedure,CATARACT
89,CESAREAN SECTION - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),12000,120000,"August 31, 2023",procedure,CESAREAN
115,CESAREAN SECTION - OBSTETRICS AND GYNECOLOGY,,CLINICAL SERVICES (PROF FEE),18000,240000,"August 31, 2023",procedure,CESAREAN
207,CLOSED REDUCTION- PELVIC FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),8000,15000,"August 31, 2023",procedure,FRACTURE
173,CLOSED REDUCTION- PELVIC FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),20000,30000,"August 31, 2023",procedure,FRACTURE
376,COLONOSCOPY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),6000,10000,"August 31, 2023",procedure,COLONOSCOPY
608,COLONOSCOPY - GASTROENTEROLOGY,,CLINICAL SERVICES (PROF FEE),13440,33600,"August 31, 2023",procedure,COLONOSCOPY
775,COLONOSCOPY - PEDIATRICS (ADMISSIONS / REFERRALS / PROCEDURES),,CLINICAL SERVICES (PROF FEE),15000,20000,"October 23, 2023",procedure,COLONOSCOPY
62,COLPOSCOPIC GUIDED CERVICAL BIOPSY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),5000,15000,"August 31, 2023",procedure,BIOPSY
97,COLPOSCOPIC-GUIDED CERVICAL BIOPSY - OBSTETRICS AND GYNECOLOGY,,CLINICAL SERVICES (PROF FEE),5000,30000,"August 31, 2023",procedure,BIOPSY
664,CONSULTATION - NUCLEAR MEDICINE,,CLINICAL SERVICES (PROF FEE),1000,2000,"October 21, 2023",radiologic,NUCLEAR
370,CONTRAST PROCEDURE (ARTHROGRAM- FISTULOGRAM) - RADIOLOGY,,CLINICAL SERVICES (PROF FEE),10000,35000,"August 31, 2023",radiologic,CONTRAST
299,CORE NEEDLE BIOPSY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),2000,7500,"August 31, 2023",procedure,BIOPSY
225,CORE NEEDLE BIOPSY - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),5000,15000,"August 31, 2023",procedure,BIOPSY
706,CORONARY ANGIOGRAM - CARDIOLOGY,,CLINICAL SERVICES (PROF FEE),25000,40000,"August 31, 2023",radiologic,ANGIOGRAM
761,COVID WARD - CARDIOLOGY,,CLINICAL SERVICES (PROF FEE),4500,9000,"October 23, 2023",facility,WARD
